candidate_id,name,counstituency,party,companies_house_url
2107,Helen Grant,Maidstone and Malling,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/jQnABEUeuXw3uDcrmwtZFN6kfH0/appointments
2131,Denis Healy,Beverley and Holderness,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/DdwqrhCq8PoTnSBI98bwaDivobU/appointments
2209,Guy Opperman,Hexham,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/FcQkwkBGcnNZU_XKMZ5T-G4Uab4/appointments
2241,Lisa Nandy,Wigan,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/9zl8_Zos0AFZdzUXd1-PhTFnEWE/appointments
2241,Lisa Nandy,Wigan,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/Xxu7YoUW7fxljQbR-DdQ3N9AwOI/appointments
2283,Robin Millar,Bangor Aberconwy,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/4H27lSZ_sYTYhNdPwQrzP8wGTf0/appointments
2308,Robin Lambert,"Harborough, Oadby and Wigston",Social Democratic Party,https://find-and-update.company-information.service.gov.uk/officers/jRhDYIaG22RAIk05kPlBGrchl3A/appointments
2414,David John Kendall,Brentwood and Ongar,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/hnHN8xFQMcMEBcovf6rsSEyIgy0/appointments
2419,Pete Wishart,Perth and Kinross-shire,Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/dkX7fqxHJUr0zZUE0wdaRuhwiSM/appointments
2433,Conor Burns,Bournemouth West,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/DvQd80iCOoBGX7bFfV5ERXeEDnc/appointments
2433,Conor Burns,Bournemouth West,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/TqxzaUW2wnxtOfuMvc6UPJ1xWaM/appointments
2447,Layla Moran,Oxford West and Abingdon,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/G5nOAD4FkJgiD1XUSf9q2CFKLDQ/appointments
2519,Emily Thornberry,Islington South and Finsbury,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/ibowWQOs7IR_XzeXLlCj1Hl10zA/appointments
2601,Christopher Ashley Bramall,Stourbridge,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/xl_knY4Oe2Dj7NdhlKDyf6pUeYo/appointments
2684,Karl Turner,Kingston upon Hull East,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/ASNJec-anbJjPPbseDild8TTvhY/appointments
2706,Patricia Gibson,North Ayrshire and Arran,Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/FjAl1rjw8hI27rNKDr2RucJaN6A/appointments
2740,Paul Andrew Foster,South Ribble,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/XHut1vBxFQBmFzYa_VLmX4lozkM/appointments
2757,Paul Penlington,Clwyd East,Plaid Cymru - The Party of Wales,https://find-and-update.company-information.service.gov.uk/officers/e-6oMHhaISSlxj16s6SYDhaa-nc/appointments
2759,David Sandru Naghi,Maidstone and Malling,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/NIqAu9ykJ_FVImle1B7O3qVY7Mk/appointments
2827,George Freeman,Mid Norfolk,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/fHOJcplVZ4U3nEgbkIFhOcGhV8s/appointments
3048,Siobhain McDonagh,Mitcham and Morden,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/X55qop90gn4CX4NL2vo2y0SyVLk/appointments
3048,Siobhain McDonagh,Mitcham and Morden,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/l1wiSVKhwaHS5lprB6uHiUpnUwM/appointments
3067,Sharon Hodgson,Washington and Gateshead South,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/wSx88iiBiQSu2OR8oA2fxTDnZFk/appointments
3138,Chris Goodall,Oxford West and Abingdon,Green Party,https://find-and-update.company-information.service.gov.uk/officers/qpFpQnjguHj6L8dWsc9KPNYWpRY/appointments
3383,Jason McCartney,Colne Valley,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/vseTacqLMHbZQ7dyNwwrRwd8PeU/appointments
3449,Damian Hinds,East Hampshire,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/JqDqpv_NDAf68hSrBuB6Y9zvNkA/appointments
3649,Alison McGovern,Birkenhead,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/rqm7tCZdu0MYagDw3Fu_8s0b0qk/appointments
3658,Chi Onwurah,Newcastle upon Tyne Central and West,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/CfIkTHePy9TKcD7s9jeWSVOZVJY/appointments
3670,Ayoub Khan,Birmingham Perry Barr,Independent,https://find-and-update.company-information.service.gov.uk/officers/kX8zidahqZj-uv4zWNU2Ab5dBwA/appointments
3720,Wera Hobhouse,Bath,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/10SAiudophgoseuNC2P7n-oHSB4/appointments
3762,Pippa Bartolotti,Newport East,Independent,https://find-and-update.company-information.service.gov.uk/officers/dpasNlNUxwTS2fFoikk1ql0zeSc/appointments
3882,Graham Eardley,Aldridge-Brownhills,Reform UK,https://find-and-update.company-information.service.gov.uk/officers/gJAoxvda-jhHINjN2QYPlCO6C6Y/appointments
4073,Mark Spencer,Sherwood Forest,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/_ODVI0DznpwYqLkdipNf5nkOfkg/appointments
4098,Jackie Doyle-Price,Thurrock,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/2j7_du1nPd5G0gICwjZSzolGMTM/appointments
4173,Craig Williams,Montgomeryshire and Glyndŵr,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/hOZ2UmNSdgMwc4A3Klm-tgZutA4/appointments
4180,Tom Pursglove,Corby and East Northamptonshire,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/HrnwoIldPh9xVcGppDl0VbnZOhY/appointments
4183,Amanda Solloway,Derby North,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/5LW0J13scJyru5HKuNpWn78m6g8/appointments
4188,Caroline Ansell,Eastbourne,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/264Vrj_co-4Ijz5iR33vOaeTzoI/appointments
4217,Ranil Malcolm Jayawardena,North East Hampshire,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/KVbNuOlWzezwH1lOHxp348i_5G4/appointments
4224,Kelly Tolhurst,Rochester and Strood,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/DBYl2WelyNUAtUbUgCghpR3wBK0/appointments
4236,Kevin Hollinrake,Thirsk and Malton,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/G_tcnuPMCjo8OZyP1y5lGldidbo/appointments
4264,Neil Coyle,Bermondsey and Old Southwark,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/9aSTRhUksH4kUMED3SxDEHrDnzc/appointments
4270,Sam Rushworth,Bishop Auckland,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/h5sWjqozqXD2iTzB-F21ek4iVyI/appointments
4270,Sam Rushworth,Bishop Auckland,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/jlDSSIg0ay2A3UAzxlhnXJTr_aE/appointments
4270,Sam Rushworth,Bishop Auckland,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/nsOgvCIkYGk558uANyW0VMF2x7s/appointments
4274,Matthew Dorrance,"Brecon, Radnor and Cwm Tawe",Labour Party,https://find-and-update.company-information.service.gov.uk/officers/ZDvmzRIt1XTdVljOCcAjpV4GvJQ/appointments
4281,Thangam Debbonaire,Bristol Central,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/c1xeVpDvaAjyef4dtoL0pICSZXA/appointments
4286,James Frith,Bury North,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/iny1j3a6XU1VP8kL_vPkDgYZzsg/appointments
4305,Christopher John Vince,Harlow,Labour and Co-operative Party,https://find-and-update.company-information.service.gov.uk/officers/S4DtvetcAHB2nrQFZw0RFHXjrt8/appointments
4329,Justin Madders,Ellesmere Port and Bromborough,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/RpB-3jUwHR6-k0BHMg-iJkPFzJk/appointments
4331,Bambos Charalambous,Southgate and Wood Green,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/F0hGTkEAYJmU2a201sIaE3ghFNQ/appointments
4343,Matthew Pennycook,Greenwich and Woolwich,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/Nrmw3jF_RTRbfWSNLd0PvWEM4jg/appointments
4346,Tulip Siddiq,Hampstead and Highgate,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/ojTrO5YUrLvNJJz7ibWnOHWNUk0/appointments
4370,Alex Sobel,Leeds Central and Headingley,Labour and Co-operative Party,https://find-and-update.company-information.service.gov.uk/officers/ofxWNmBkACFPMRHJOTMRq6s1Yts/appointments
4370,Alex Sobel,Leeds Central and Headingley,Labour and Co-operative Party,https://find-and-update.company-information.service.gov.uk/officers/ru5doALpTqVF0V_JMUedosO8PAM/appointments
4411,Naushabah Khan,Gillingham and Rainham,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/mgF4Diq8X8X2bmSRJ-25Ys21VTM/appointments
4447,Emily Brothers,Isle of Wight East,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/RmFn4DvKid8696dnIsLyyhMXXCI/appointments
4457,Chris Elmore,Bridgend,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/R0j0QZe5ho_4Qnh7Oy_OgrmiWVQ/appointments
4499,Christine Jardine,Edinburgh West,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/JJ7x5qv5ydqJUQOaajY8XvqXDS0/appointments
4537,Paul Richard Hodgkinson,North Cotswolds,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/s-aYi51TMQXdE-1pLDvPcAXNaV0/appointments
4593,Adrian Hyyrylainen-Trett,Old Bexley and Sidcup,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/KndQ_raYZt0IttUCGMD4KVpHXdk/appointments
4805,Martin Corney,South East Cornwall,Green Party,https://find-and-update.company-information.service.gov.uk/officers/gfRnOxHi28czEJrkYSjXqkLRO0Y/appointments
4825,Imran Hussain,Bradford East,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/SFstlANI9xHIfl7XWhxwSEk40dk/appointments
4896,Andy Kelly,Rochdale,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/zM5_s1Ul3jYooEzq1aYm2XNooi4/appointments
4907,Victoria Prentis,Banbury,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/XH1JtPJ8mB2g3nOuQl3tl111_DI/appointments
4967,Neil John McEvoy,Cardiff West,Propel,https://find-and-update.company-information.service.gov.uk/officers/YJKJNT1282GMoZVYTnwAwVEYAkI/appointments
4970,Liz Saville Roberts,Dwyfor Meirionnydd,Plaid Cymru - The Party of Wales,https://find-and-update.company-information.service.gov.uk/officers/p2_1rljT5sac7Wb2S3VDEzrooE4/appointments
4986,Shan Oakes,Harrogate and Knaresborough,Green Party,https://find-and-update.company-information.service.gov.uk/officers/lWknbPVdkL9fG0AxTsRs-djMpHw/appointments
4997,Rachel Gilmour,Tiverton and Minehead,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/GrXTtaUgfN8OKJaqA0qNbjg48Q8/appointments
5039,Dean Russell,Watford,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/Rpjq3fdgJC7c-OICfStBq4U-r7E/appointments
5049,Peter Bedford,Mid Leicestershire,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/oOIu0QFe6i9GJrchrb6oZR1ek48/appointments
5077,Keir Starmer,Holborn and St Pancras,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/l8X3J0VhqkzkQ5KpaGfehWVAUg0/appointments
5103,Malcolm Birks,Skipton and Ripon,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/xrDEhvki_jYvHLFqnEFUmJ6TMpo/appointments
5190,Margaret Pinder,Beverley and Holderness,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/Mj5XftZsd0LyrHMrPR9YTYCVOVs/appointments
5191,Peter Dowd,Bootle,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/W94IoZ38INODERBTA7MLce842hE/appointments
5198,Keith Kondakor,Nuneaton,Green Party,https://find-and-update.company-information.service.gov.uk/officers/nOrSFss-mVJBvqUj85X3N5B3XOM/appointments
5542,Sarah Champion,Rotherham,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/gTED3kGfVoHIdoRI-EfGmOVAOiI/appointments
5544,Mike Kane,Wythenshawe and Sale East,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/izX0gGmN-6Sjl592BGkwBISQm1s/appointments
5546,Stephen Doughty,Cardiff South and Penarth,Labour and Co-operative Party,https://find-and-update.company-information.service.gov.uk/officers/uDqOR0F34O7RQaEPKTH7TU_4EkQ/appointments
5658,William Lavin,Hitchin,Green Party,https://find-and-update.company-information.service.gov.uk/officers/_FgD4sioYJXvcP8oV4KEFUzk6K0/appointments
5767,Jonathan Christopher Kent,Bexhill and Battle,Green Party,https://find-and-update.company-information.service.gov.uk/officers/MSdEhiXO7h07PPsI-ANQkcAw9t4/appointments
5834,David Alan Dews,Wakefield and Rothwell,Reform UK,https://find-and-update.company-information.service.gov.uk/officers/u921d9Ho-cSnvKLcIjjCGVhVwko/appointments
5841,Yasin Rehman,Luton South and South Bedfordshire,Workers Party of Britain,https://find-and-update.company-information.service.gov.uk/officers/3bwbnmxCE6ZgF8b0krA7C7vb7Y4/appointments
5988,Claire McIlvenna,Kingswinford and South Staffordshire,Green Party,https://find-and-update.company-information.service.gov.uk/officers/GVd9X3xW6QF6i-jFngD28gXns38/appointments
6020,Chris Law,Dundee Central,Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/7cjAwGisQfYytEvpKoDJDd1xapM/appointments
6042,Kirsty Blackman,Aberdeen North,Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/8RHsx6Ov4OeyZgowQHWJjHDk08Q/appointments
6044,Brendan O'Hara,"Argyll, Bute and South Lochaber",Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/PekSKAXZrO6TIl02TR2yko-lHSk/appointments
6044,Brendan O'Hara,"Argyll, Bute and South Lochaber",Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/a6iMdlaAUWGrGEJJ4IFuiM402Bs/appointments
6053,Martyn Day,Bathgate and Linlithgow,Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/pnZeFrAsBHWFswzPTpzhXhJPXno/appointments
6063,Hannah Bardell,Livingston,Scottish National Party (SNP),https://find-and-update.company-information.service.gov.uk/officers/RLjGAW-PCvMMgS4DDZuNqKb_Qt4/appointments
6095,Ryk Downes,Leeds North West,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/zYYk-A4vAj0BiPrK-ejgIhEP7wk/appointments
6208,Andrew Emerson,Chichester,Independent,https://find-and-update.company-information.service.gov.uk/officers/c6rc980V6Yx0SJaDZ4Nw8YkHScA/appointments
6225,Richard Kilpatrick,Manchester Withington,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/qnp6Z5AttrXcH1Rg-KcY3BVw0SA/appointments
6225,Richard Kilpatrick,Manchester Withington,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/vqRaLhgN6K7ZhuSf96jibvkfpOI/appointments
6276,Paul Lorber,Brent West,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/TZbCgKE2Cme2-FFdLm7U31b3C4Q/appointments
6364,Rachael Maskell,York Central,Labour and Co-operative Party,https://find-and-update.company-information.service.gov.uk/officers/xVTGlggCXmIsEPSExMFq3iCfffI/appointments
6386,Mark Redding,Tipton and Wednesbury,Green Party,https://find-and-update.company-information.service.gov.uk/officers/7aoFMVXlGqQdUieudTII_hE14Vc/appointments
6445,Neil Franks,Droitwich and Evesham,Green Party,https://find-and-update.company-information.service.gov.uk/officers/4p2wWLjmrPloNN07_Gj1Cz0P-l0/appointments
6479,Des Coke,Mitcham and Morden,Christian Peoples Alliance,https://find-and-update.company-information.service.gov.uk/officers/9oKzk1JrxvaQLYWMM0oJxkBqqDw/appointments
6608,Ross Laird,Midlothian,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/NsmhEG76dDC5xiUBe5lq0kFZHXQ/appointments
6725,Julian Edmonds,Slough,Green Party,https://find-and-update.company-information.service.gov.uk/officers/ZpGL2Zr5t7u7tPM-1VKRoK8_l8g/appointments
6790,Luke Balnave,Edmonton and Winchmore Hill,Green Party,https://find-and-update.company-information.service.gov.uk/officers/ammdWe_lE5a3Tnn2gWXONzjhWaI/appointments
6821,Lesley Rollings,Gainsborough,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/SqxLzSiusQsbHMqZOZ1g2Ksf73E/appointments
6881,Adam Heatherington,Liverpool Wavertree,Reform UK,https://find-and-update.company-information.service.gov.uk/officers/H1iWi7jyin4pLXox0CzW1rXtBbk/appointments
6881,Adam Heatherington,Liverpool Wavertree,Reform UK,https://find-and-update.company-information.service.gov.uk/officers/oCj8sYudqMarpy_tN9V4cQiP3GM/appointments
6898,Chris Copeman,Runcorn and Helsby,Green Party,https://find-and-update.company-information.service.gov.uk/officers/t1gTdz-sPjmVipJPZnxQes354OY/appointments
6917,Grahame George Birchall,East Thanet,Independent,https://find-and-update.company-information.service.gov.uk/officers/y_Cb195Qvlb51SV0b9MjgQlWccM/appointments
6949,Petra Haig,Bangor Aberconwy,Green Party,https://find-and-update.company-information.service.gov.uk/officers/KZ3t9HKXXL2sQyq-BnlpEg0SuRE/appointments
6968,Alan Melville,Edinburgh North and Leith,Reform UK,https://find-and-update.company-information.service.gov.uk/officers/RwVMsQ-_c0GkqgTC9fqUj0ib5bI/appointments
7050,Graham Reid,Hazel Grove,Green Party,https://find-and-update.company-information.service.gov.uk/officers/eAAb1JqT9MhdhNQjReSBhTF6Zlo/appointments
7335,Keith Alexander Garrett,Cambridge,Rebooting Democracy,https://find-and-update.company-information.service.gov.uk/officers/LKyUHotRY7yDavsEZV9FoN_Nx-4/appointments
7416,Roy Ivinson,Penrith and Solway,Independent,https://find-and-update.company-information.service.gov.uk/officers/F7EWsO9SDbcvfwUabTgaKQmrDJI/appointments
7417,Attiq Ahmed Malik,Luton South and South Bedfordshire,Independent,https://find-and-update.company-information.service.gov.uk/officers/JKx6V1SXUcFn_RT0_twExrBZxzs/appointments
7499,Andrew Joseph Muir,West Dunbartonshire,Scottish Family Party,https://find-and-update.company-information.service.gov.uk/officers/4NvivJcjm9CQLtPSA7rCGEdQBhw/appointments
