candidate_id,name,counstituency,party,companies_house_url
45,Daniel Zeichner,Cambridge,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/51dXF3dp4h_fDv95mUPXU9MXnrE/appointments
96,Roger Harmer,Birmingham Yardley,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/QHn8g8ibTJbXUA40t4iM0ORFYJs/appointments
190,Justin Tomlinson,Swindon North,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/ITM9b_GeD8rT5XXmidLFNcFQRVU/appointments
195,Desmond Swayne,New Forest West,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/dHVZTIx4i8s3czMINU7Omqfr81Y/appointments
216,Shabana Mahmood,Birmingham Ladywood,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/BqZfRjJsLxgPZ9ydX-i9LIrhgTs/appointments
216,Shabana Mahmood,Birmingham Ladywood,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/mfWOGeAVh8YNSo7IDm1jLE_VAms/appointments
227,Bob Blackman,Harrow East,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/vt37vhVTwHB4aIEZxXg2BguEIko/appointments
248,Nia Griffith,Llanelli,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/rIh4aUCxfD8Juq7VB5KuVhycZIs/appointments
360,Craig Dobson,Normanton and Hemsworth,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/cgzDkPeAXmcwluXoOJ2L5-OvoMw/appointments
384,Tobias Ellwood,Bournemouth East,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/n6d-UxkT7RenwqI00-WRrSh1EN0/appointments
425,Stephen Crabb,Mid and South Pembrokeshire,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/a9_ENMZsjjYu5PrhTG_KTGxbHPw/appointments
439,Jonathan Essex,Reigate,Green Party,https://find-and-update.company-information.service.gov.uk/officers/7u6944mKo-7qkB6ag35ql6XC3ek/appointments
449,Mark Francois,Rayleigh and Wickford,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/BJ6Ve3v1oVhgKhyNcmIOF5fHqKY/appointments
487,Heather Wheeler,South Derbyshire,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/jQPw22U3DMIvBQMg90CRALEC19s/appointments
495,Martin Vickers,Brigg and Immingham,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/SCGcumqvfj_RE_fldLWjpEkQrU0/appointments
582,Toby Perkins,Chesterfield,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/aZVIHCKwzl_BYGM3E0SpiWCp940/appointments
688,Mark Tami,Alyn and Deeside,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/jwkZh_jnJ2zV8ZHCEmztEKdvMVc/appointments
710,Matt Rodda,Reading Central,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/c9BAX7IqRQKzKW1qp5N0BiiuM84/appointments
784,Andrew Rosindell,Romford,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/d_6xa227YqdVBLicPogHFgjsC3U/appointments
816,Valerie Vaz,Walsall and Bloxwich,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/1Fad-iV6jcmf5rCpYIcEmkoNL6Q/appointments
816,Valerie Vaz,Walsall and Bloxwich,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/wF6EhtUh4bCnBIdaGcYAZomV1i0/appointments
897,Maria Caulfield,Lewes,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/e9NIA2JKxvXWQXl5OkaBH0PhTEk/appointments
1021,Sheryll Murray,South East Cornwall,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/TAYRMCcDjVGeeS_q_esmsF9QS3M/appointments
1067,Anne Marie Morris,Newton Abbot,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/5Rmz5oTkHYkiAA5yaGI4UBmmgsQ/appointments
1114,Charles Dodman,Wrexham,Reform UK,https://find-and-update.company-information.service.gov.uk/officers/mIyKuHnbLKPylpQb7ZsQm91bgU0/appointments
1120,Jeremy Corbyn,Islington North,Independent,https://find-and-update.company-information.service.gov.uk/officers/lZj9U_d1NyUYWo4GaXm0wjBKRi0/appointments
1123,Caroline Nokes,Romsey and Southampton North,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/VtSafl6aEwjYt0jcbZeh6x89ppY/appointments
1142,Emma Bishton,South Suffolk,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/ECNKw-pofqTBGoN_Eo3XTkKMDE8/appointments
1168,Ron Beadle,Gateshead Central and Whickham,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/tMOagKiWnxCTJV1VxOllDQuXk2o/appointments
1179,Graham Stringer,Blackley and Middleton South,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/okEANlUmA3ujJ0ZR-o-L_jF4Tl4/appointments
1303,Karen Bradley,Staffordshire Moorlands,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/2hTtkmD4OafTyMnUTQvqpUsMSrE/appointments
1303,Karen Bradley,Staffordshire Moorlands,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/zr6NKgEx8AXvNQS0wUw0jdLmED4/appointments
1331,Alistair Carmichael,Orkney and Shetland,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/JxTvqo0Js65mvK9_0q-MgITgu_k/appointments
1365,Grahame Morris,Easington,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/3ZDXRuwRdzYBY74GdTVYsegElZE/appointments
1432,Jane Brophy,Altrincham and Sale West,Liberal Democrats,https://find-and-update.company-information.service.gov.uk/officers/Qh3dszMUA1VwBKHPnJVoKA8g_Vk/appointments
1439,Alan Strickland,Newton Aycliffe and Spennymoor,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/WfIxNhN0CZZYMzApksMX3uEO1tw/appointments
1474,Dawn Butler,Brent East,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/VA4M9rAyy5v7eYw2CD0LTCDLC1I/appointments
1476,Harriett Baldwin,West Worcestershire,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/uZo7rrC4zF5HLqhH7bO1kENS1p8/appointments
1592,David Mundell,"Dumfriesshire, Clydesdale and Tweeddale",Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/fjQg8S97tRfzPpeGEKzab4Uz25o/appointments
1616,Mark Pritchard,The Wrekin,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/s1QWZCjh6cKXEmHIgsXt2IrQedk/appointments
1629,Michael de Whalley,North West Norfolk,Green Party,https://find-and-update.company-information.service.gov.uk/officers/_9nkx2FZp5pbGrEZrDy89XufBuA/appointments
1712,Martin Hogbin,East Surrey,The Official Monster Raving Loony Party,https://find-and-update.company-information.service.gov.uk/officers/FtsrbB6hgNVo68m4TLojlXPwTjU/appointments
1759,Ian Liddell-Grainger,Tiverton and Minehead,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/44D4cHOUkok8dgFK_zxmUTsbTxg/appointments
1768,Philip Hollobone,Kettering,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/4RsZgfu-lZ8LPrscec647h6jI0E/appointments
1886,Karl McCartney,Lincoln,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/h-P5rSQg3Z9YQWFcf7JOvSeVCbU/appointments
1900,Laurence Robertson,Tewkesbury,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/JfW4LIkF1RVbkfiTr4NydxN5wgQ/appointments
1900,Laurence Robertson,Tewkesbury,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/kQga3Urm3QkiNWKuk4uRGoCOJrs/appointments
1923,Alun Cairns,Vale of Glamorgan,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/BLOOyfWpH5v0mQYHby6BiyV3_dY/appointments
1958,Damian Collins,Folkestone and Hythe,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/Tb5tTwbtZHOVL539NcBQdOc6A4Y/appointments
1985,Stuart Andrew,Daventry,Conservative and Unionist Party,https://find-and-update.company-information.service.gov.uk/officers/TV7UwJFIAYtdjDPwLQlSELC3FpE/appointments
2098,Catherine McKinnell,Newcastle upon Tyne North,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/7R4W2Sy4OWIdTHEnFdZoBwDaNRc/appointments
2098,Catherine McKinnell,Newcastle upon Tyne North,Labour Party,https://find-and-update.company-information.service.gov.uk/officers/T35iQJJvDwrqPIqnAvHZH-GqnZ4/appointments
